from,to
avg_p_latency,container_cpu_cfs_periods_total
avg_p_latency,throughput
avg_p_latency,container_cpu_cfs_throttled_seconds_total
container_cpu_cfs_periods_total,container_cpu_cfs_throttled_periods_total
container_cpu_cfs_periods_total,container_cpu_system_seconds_total
container_cpu_cfs_periods_total,container_fs_inodes_free
throughput,container_memory_mapped_file
container_cpu_cfs_throttled_seconds_total,container_cpu_usage_seconds_total
container_cpu_system_seconds_total,container_cpu_usage_seconds_total
container_cpu_system_seconds_total,container_cpu_cfs_throttled_seconds_total
container_fs_inodes_free,python_gc_collections_total
container_cpu_usage_seconds_total,container_cpu_user_seconds_total
container_cpu_user_seconds_total,container_memory_rss
container_memory_rss,container_memory_working_set_bytes
container_last_seen,container_fs_usage_bytes
container_last_seen,container_memory_working_set_bytes
container_last_seen,container_cpu_cfs_periods_total
container_last_seen,container_memory_rss
container_memory_working_set_bytes,container_memory_usage_bytes
container_memory_cache,container_memory_mapped_file
container_memory_cache,container_cpu_system_seconds_total
container_memory_max_usage_bytes,container_fs_inodes_free
container_spec_cpu_quota,container_memory_max_usage_bytes
cores,container_spec_cpu_quota
cores,container_last_seen
cores,container_memory_cache
cores,throughput
cores,container_cpu_cfs_throttled_seconds_total
data_quality,avg_p_latency
data_quality,container_memory_rss
data_quality,container_cpu_system_seconds_total
data_quality,container_cpu_cfs_throttled_periods_total
data_quality,container_memory_max_usage_bytes
data_quality,container_cpu_user_seconds_total
data_quality,container_cpu_usage_seconds_total
